metric,training_mean,training_std,generated_mean,generated_std,t_stat,p_value,adjusted_p,significance
instability,41.83534843096538,48.92308879901287,34.665014747794324,19.58969622329856,-3.62860909169672,0.00044632405133192656,0.00044632405133192656,***
charge,2.8995595381892745,4.051231689862101,-2.0724099999999996,2.0076951864053347,-24.624141654837015,1.5035040624397118e-44,5.262264218538991e-44,***
isoelectric_point,9.27529290599861,2.6629400777529684,4.9258935546875,2.015004907933667,-21.532301123242014,2.4973029627057154e-39,5.827040246313336e-39,***
hydrophobic_ratio,0.3965273609372775,0.15246425276915523,0.5218955150883106,0.10089533405662172,12.385904518942054,6.254960084307762e-22,1.0946180147538585e-21,***
aromaticity,0.11360515289678606,0.1109220645528357,0.022185366029735986,0.02966154730799182,-30.232870232877985,3.3039692227953875e-54,2.3127784559567714e-53,***
boman_index,1.6003187418167233,1.9244253253841397,0.8130098159589128,0.9084037910571512,-8.61282865739545,9.712761427980718e-14,1.3597865999173004e-13,***
tm_tend,-0.4684406268014639,0.5465379891135086,-0.2861810617094344,0.26485216766366365,6.840746803922461,6.087896022588701e-10,7.102545359686818e-10,***
