metric,training_mean,training_std,generated_mean,generated_std,t_stat,p_value,adjusted_p,significance
instability,41.83534843096538,48.92308879901287,43.65902060618416,25.37065652921785,1.1855891901394762,0.23673688378786298,0.27619303108584015,ns
charge,2.8995595381892745,4.051231689862101,0.1494107142857143,2.603435407363682,-17.510217417162846,2.504462475616983e-47,1.753123732931888e-46,***
isoelectric_point,9.27529290599861,2.6629400777529684,7.20801260811942,2.396971453254557,-14.362091220349273,1.5069054400820474e-35,5.274169040287166e-35,***
hydrophobic_ratio,0.3965273609372775,0.15246425276915523,0.3542881852174392,0.09191995108296463,-7.6073945115526485,3.8929165272504974e-13,6.812603922688371e-13,***
aromaticity,0.11360515289678606,0.1109220645528357,0.15016193276263384,0.06768478943976226,8.943688153350106,4.49155680129585e-17,1.048029920302365e-16,***
boman_index,1.6003187418167233,1.9244253253841397,1.5993662068141907,0.953298557986972,-0.016458114824683984,0.9868799612027814,0.9868799612027814,ns
tm_tend,-0.4684406268014639,0.5465379891135086,-0.424615089859247,0.34010673114870393,2.1346304124809627,0.033628210188956724,0.04707949426453941,*
