metric,training_mean,training_std,generated_mean,generated_std,t_stat,p_value,adjusted_p,significance
instability,41.83534843096538,48.92308879901287,30.8986,24.734079321038212,-3.1180818820893093,0.00302964928114044,0.00706918165599436,**
charge,2.8995595381892745,4.051231689862101,1.05732,3.390964154265009,-3.8377175861979334,0.00035482341883345033,0.0012418819659170762,**
isoelectric_point,9.27529290599861,2.6629400777529684,8.1330078125,2.9980480130946674,-2.69265331633051,0.009668851197440558,0.016920489595520977,*
hydrophobic_ratio,0.3965273609372775,0.15246425276915523,0.42533333333333334,0.10638568433863434,1.911872146428667,0.06171537037773841,0.08640151852883377,ns
aromaticity,0.11360515289678606,0.1109220645528357,0.06333333333333332,0.05763675446147717,-6.151533882995771,1.316983195784861e-07,9.218882370494028e-07,***
boman_index,1.6003187418167233,1.9244253253841397,1.38702,1.4435921817975248,-1.0434879767381346,0.3018179558456939,0.3521209484866429,ns
tm_tend,-0.4684406268014639,0.5465379891135086,-0.4110999999999999,0.4592839751627199,0.8819307531970481,0.3821032167951183,0.3821032167951183,ns
