metric,training_mean,training_std,generated_mean,generated_std,t_stat,p_value,adjusted_p,significance
instability,41.83534843096538,48.92308879901287,22.940508120858986,22.642484768332267,-8.29067594780607,4.876074658610275e-13,8.533130652567982e-13,***
charge,2.8995595381892745,4.051231689862101,-1.4608900000000002,2.8824843132375597,-15.085604827997917,1.590440841360622e-27,3.711028629841452e-27,***
isoelectric_point,9.27529290599861,2.6629400777529684,5.391722412109375,2.216784303556439,-17.48353760246448,3.801106375011598e-32,1.3303872312540592e-31,***
hydrophobic_ratio,0.3965273609372775,0.15246425276915523,0.47696721705129846,0.1728388177421623,4.648960646705999,1.027003999238465e-05,1.1981713324448759e-05,***
aromaticity,0.11360515289678606,0.1109220645528357,0.015615547696373305,0.02021907337398224,-46.536685928322335,4.3978267475138535e-77,3.0784787232596975e-76,***
boman_index,1.6003187418167233,1.9244253253841397,0.47074954646747963,1.660481617852208,-6.789862749989029,8.190882499952217e-10,1.1467235499933102e-09,***
tm_tend,-0.4684406268014639,0.5465379891135086,-0.33554638392805003,0.7090538467232523,1.872684733863618,0.0640529001488792,0.0640529001488792,ns
