metric,training_mean,training_std,generated_mean,generated_std,t_stat,p_value,adjusted_p,significance
instability,41.83534843096538,48.92308879901287,35.950675,29.940082190929186,-2.7589967410892946,0.006322533300392455,0.011064433275686797,*
charge,2.8995595381892745,4.051231689862101,1.8715000000000002,3.153494891410283,-4.589199953630148,7.792763859011695e-06,2.7274673506540937e-05,***
isoelectric_point,9.27529290599861,2.6629400777529684,8.903386840820312,2.732956846627999,-1.919377099720323,0.05635190733231747,0.05635190733231747,ns
hydrophobic_ratio,0.3965273609372775,0.15246425276915523,0.44066666666666665,0.15506199116975003,4.014753648723809,8.396620473678383e-05,0.00019592114438582895,***
aromaticity,0.11360515289678606,0.1109220645528357,0.07150000000000001,0.06228458129874538,-9.476207534229072,6.492521850642599e-18,4.5447652954498194e-17,***
boman_index,1.6003187418167233,1.9244253253841397,1.2800466666666666,1.730856506713994,-2.607775085869858,0.009794502411485731,0.013712303376080023,*
tm_tend,-0.4684406268014639,0.5465379891135086,-0.37670500000000007,0.611784576130137,2.1158389049305555,0.0355907687895406,0.04152256358779737,*
